lat,lon,netrad
-13.25,-51.75,99.83507159263577
-1.25,-52.75,139.5132491073534
-0.75,133.25,147.2379570804111
0.25,-61.25,132.7651987976401
0.25,-51.25,127.9465098793195
-1.75,10.75,113.27826779957634
1.25,-57.25,137.73135705243277
0.25,-72.25,130.11977740551373
-0.75,132.75,149.3664305358808
1.25,-63.75,130.5780770224734
1.25,-66.25,132.09793494470432
-2.75,-79.25,63.3927370065586
-0.75,115.25,133.8701893489242
-2.25,136.75,152.99794929314538
-1.25,-62.25,125.00368100848773
-1.25,-62.75,126.21445099437686
-1.25,-63.25,129.6787168596107
-2.25,-77.75,104.29277783699305
1.25,-68.75,127.04828955207556
1.25,-60.75,137.2097931363079
0.25,-69.75,129.08415775364276
-1.75,-49.75,135.5891266493549
-1.75,-49.25,136.70160775956555
-1.75,111.25,139.72608274261336
1.25,-66.75,131.7620965297111
-1.75,28.75,121.31938097262879
1.25,-65.25,132.6467755418546
0.25,-55.25,146.61085360932833
0.25,-50.25,124.9793202305114
0.25,-57.75,137.93995879525488
0.25,-57.25,139.0887214109947
0.25,-56.75,140.71251122077348
0.25,-59.75,134.0913435344933
0.25,-60.25,133.16757516298662
0.25,-60.75,134.0954315840814
0.25,-50.75,126.66986042380222
1.25,-67.75,128.49805194261074
0.25,-69.25,129.84575398959197
-1.25,-63.75,129.6291042684308
-1.75,110.25,161.183896013069
-0.75,-47.25,160.1445871707225
0.25,-71.25,132.2112769117093
-0.75,26.75,123.30922745962862
-2.25,140.75,131.87999297797586
-0.75,23.25,129.36540322588922
-1.25,-67.25,130.18738724946587
-1.25,-66.75,130.34755395522777
-0.75,101.25,142.39025940496288
-0.75,100.75,151.84570318690376
-0.75,12.75,122.60003513517131
-0.75,-47.75,159.20144695220208
-0.75,103.75,127.08327004204978
-1.25,-64.75,130.48072848018302
-0.75,111.75,139.64997591769253
-0.75,24.25,125.70275239907669
1.75,25.25,132.31257248738248
-2.25,134.25,149.03990496560075
-0.75,27.25,125.87731210939394
-0.75,-48.25,138.63454125362546
-0.75,25.75,124.1509065100684
-0.75,100.25,162.7418494654848
-0.75,26.25,125.8019559037867
0.25,-70.75,127.98956957475961
0.25,-70.25,127.54131924793481
0.25,-56.25,139.9327531719667
1.25,-67.25,129.0879941990108
-1.75,110.75,141.04090323041007
-1.75,106.25,138.22231541430364
-1.75,10.25,130.2237453677457
-1.25,-68.25,130.2695730903786
-1.25,-68.75,130.7447278831294
-1.25,-61.75,126.58669764012289
-0.75,114.25,136.26078722329987
-0.75,112.75,137.226619086242
-0.75,22.75,130.78759616656873
-2.75,-76.25,117.28952562646596
-1.25,-67.75,128.85772075623856
-0.75,23.75,126.91210881473913
-0.75,-46.75,161.40775484281497
-2.75,-77.75,96.92029712270518
-1.25,23.75,126.10326887849904
1.25,-63.25,130.1820950109663
0.25,-51.75,135.5676226321363
0.25,-53.75,143.90094675101068
0.25,-62.75,128.2663229289601
0.25,-62.25,128.78445593452358
-1.75,138.25,143.39036117479856
0.75,128.25,155.04343629228768
1.25,-56.75,141.1795154873172
1.25,-51.75,137.48215981469443
0.25,-54.75,141.67592928573947
0.25,-74.75,126.0784707095235
0.75,115.75,134.97026069581815
1.25,26.25,131.63758400646137
-1.75,24.75,124.5035430871443
1.25,-55.75,141.77216674945464
0.25,-73.25,129.48162809576166
-1.75,105.75,152.91694919882303
-1.75,116.25,140.64940735390934
1.25,-52.25,142.1812257996089
1.25,-65.75,132.70150756173507
1.25,-62.75,132.43641953100604
1.25,-59.75,142.9096853091053
-1.75,98.75,149.61406820707913
0.25,-76.25,81.71266969772213
0.25,-64.25,129.69501403956133
1.25,-53.25,142.5877996781074
0.25,-61.75,132.1547396170438
0.75,124.75,168.436010726682
0.25,-74.25,126.83755435305017
-2.75,-56.75,126.46266545623507
-0.75,-51.25,132.20260826430567
-0.75,-52.25,138.22228306186062
-2.25,-78.25,115.54300870410852
1.25,-55.25,144.97711107463107
0.25,-77.25,120.85742584111227
0.25,-76.75,82.71963769482726
-1.75,137.25,152.64578209625515
0.25,-64.75,130.35579901781796
0.75,-61.75,133.28341490706163
-1.75,109.75,158.45712483890344
0.25,9.75,131.4761329973411
-1.75,115.75,131.1731561510052
-1.75,114.75,139.58972881380438
0.25,9.25,147.3941014358936
1.25,-68.25,124.96438912219358
-1.75,-47.25,122.60471036310352
-1.75,122.75,144.73843918562085
-2.25,-72.75,131.86888192747327
-1.75,115.25,138.95893555765178
-1.75,15.75,115.65805624947026
-0.75,135.75,164.39349850001426
1.25,-64.75,131.95530466881212
-1.75,-46.25,128.7739170098878
1.25,-64.25,141.02416591997854
0.25,-58.75,134.92582001817047
0.25,-54.25,143.4424345750245
0.25,-59.25,134.41226570065527
