lat,lon,netrad
82.75,-82.25,-17.226482959245498
82.75,-81.75,-17.399106442695455
82.75,-81.25,-17.410420091063564
82.75,-80.75,-17.302238667838257
82.75,-80.25,-17.217159700097135
82.75,-79.75,-17.644252430650653
82.25,-86.75,-17.002550800755692
82.25,-86.25,-17.1400711430411
82.25,-85.75,-17.04664119176379
82.25,-85.25,-16.832757522046776
82.25,-84.75,-16.60884230731932
82.25,-84.25,-16.33361205549721
82.25,-83.75,-15.934614058254649
82.25,-83.25,-15.832616401430942
82.25,-82.75,-15.767625418770564
82.25,-82.25,-15.434293893894246
82.25,-81.75,-15.069379714309683
82.25,-81.25,-14.779231479305718
82.25,-80.75,-14.512779426774967
82.25,-80.25,-14.07743046755157
82.25,-79.75,-14.343033406327914
82.25,-79.25,-13.706278130837768
82.25,-78.75,-13.211404457005582
81.75,-91.25,-18.29827787556493
81.75,-90.75,-18.05732443758505
81.75,-90.25,-17.91196227913139
81.75,-89.75,-17.758776615520205
81.75,-89.25,-17.62869961929082
81.75,-88.75,-17.366671453072364
81.75,-88.25,-16.854331421919703
81.75,-87.75,-16.994085952653798
81.75,-87.25,-16.426690583050018
81.75,-86.75,-16.122457240899365
81.75,-86.25,-15.687652308456707
81.75,-85.75,-15.380986829786373
81.75,-85.25,-15.095429646520182
81.75,-84.75,-15.204970947353932
81.75,-84.25,-15.241565042727496
81.75,-83.75,-14.86088495717192
81.75,-83.25,-14.287367816254006
81.75,-82.75,-13.934530259063822
81.75,-82.25,-13.86020395114401
81.75,-81.75,-13.53263418745389
81.75,-81.25,-13.31651496453424
81.75,-80.75,-13.269892209340838
81.75,-80.25,-13.283362960260998
81.75,-79.75,-13.608540573496132
81.75,-79.25,-13.717241017714558
81.75,-78.75,-13.565838096070193
81.75,-78.25,-13.395861480013192
81.25,-93.75,-18.686652461711205
81.25,-93.25,-18.50774819397784
81.25,-92.75,-18.42117079631192
81.25,-92.25,-18.04078979384338
81.25,-91.75,-18.05356318121592
81.25,-89.75,-15.737938641965592
81.25,-89.25,-15.875217821908706
81.25,-88.75,-15.640485929703544
81.25,-88.25,-15.180573265111263
81.25,-87.75,-15.485963725502348
81.25,-87.25,-15.522610014261161
81.25,-86.75,-15.566161254749774
81.25,-86.25,-15.433366852318734
81.25,-85.75,-15.351239237638822
81.25,-85.25,-15.303718741542891
81.25,-84.75,-15.337018276137092
81.25,-84.25,-15.18704331396489
81.25,-83.75,-14.976247916276836
81.25,-83.25,-14.713626144554798
81.25,-82.75,-14.58016835551807
81.25,-82.25,-14.493394648745733
81.25,-81.75,-14.545524721353164
81.25,-81.25,-14.529020086269517
81.25,-80.75,-14.54414521909078
81.25,-80.25,-14.82976698849854
81.25,-79.75,-15.465828367973861
81.25,-79.25,-15.721967501789898
81.25,-78.75,-15.875902381046519
81.25,-78.25,-15.95086752490243
81.25,-77.75,-16.030413487200256
81.25,90.75,-17.97266586560625
81.25,95.25,-19.903061643782177
81.25,95.75,-18.864032267340278
80.75,-94.75,-20.617938126304683
80.75,-94.25,-20.097150002153914
80.75,-93.75,-19.272238155196654
80.75,-93.25,-18.17948030394491
80.75,-92.75,-17.691960634323785
80.75,-92.25,-17.814305280615766
80.75,-91.75,-18.229403818603814
80.75,-91.25,-18.49676160364541
80.75,-90.75,-18.19142684144093
80.75,-88.75,-15.890374387746963
80.75,-88.25,-16.53486254932987
80.75,-87.75,-16.899564839198028
80.75,-87.25,-16.689480481252545
80.75,-86.75,-15.613121620400477
80.75,-86.25,-15.234337113095698
80.75,-85.75,-15.47008268911933
80.75,-85.25,-15.38369458839173
80.75,-84.75,-15.470170466625085
80.75,-84.25,-15.541001694342267
80.75,-83.75,-15.441979089865654
80.75,-83.25,-16.134166622168333
80.75,-82.75,-16.144693576694593
80.75,-82.25,-15.967999705592566
80.75,-81.75,-16.402575466528393
80.75,-81.25,-16.447187345732587
80.75,-80.75,-16.740770082553134
80.75,-80.25,-16.976649931612087
80.75,-79.75,-17.76902590256404
80.75,-79.25,-18.22826552156434
80.75,-78.75,-18.261329838381023
80.75,-78.25,-18.084803357470587
80.75,-77.75,-17.66581062404848
80.75,-77.25,-17.038269013035972
80.75,93.25,-14.554884920918653
80.75,93.75,-15.037647138918782
80.75,94.25,-19.97107652972164
80.75,94.75,-19.536939539525857
80.75,95.25,-16.41192435001913
80.75,95.75,-19.64520684815097
80.75,96.25,-15.66229815357449
80.75,96.75,-20.15550373897567
80.75,97.25,-19.253113259580235
80.25,-95.75,-19.825769611543556
80.25,-95.25,-19.34278311920817
80.25,-94.75,-18.90798408272883
80.25,-94.25,-18.418642459130393
80.25,-93.75,-18.105311454000212
80.25,-93.25,-17.196288132942485
80.25,-92.75,-16.78168808673691
80.25,-92.25,-16.736903762783278
80.25,-91.75,-17.016717368550797
80.25,-91.25,-17.26031179172554
80.25,-90.75,-17.36062704645209
80.25,-90.25,-17.011953416709588
80.25,-89.75,-16.559019656048548
80.25,-89.25,-16.574220527818262
80.25,-88.75,-15.80437707863268
80.25,-88.25,-16.371191103294766
80.25,-87.75,-16.125584388521695
80.25,-86.25,-7.655939386684295
80.25,-85.75,-15.31263514627867
80.25,-85.25,-10.065983280558736
80.25,-84.75,-15.246882236636566
80.25,-84.25,-14.912860839109204
80.25,-83.75,-14.162371535081558
80.25,-83.25,-13.497524552561707
80.25,-82.75,-15.084291026863799
80.25,-82.25,-15.425639963403189
80.25,-81.75,-15.82125966883514
80.25,-81.25,-15.980812148185358
80.25,-80.75,-16.021603964289003
80.25,-80.25,-15.978624909543461
80.25,-79.75,-16.517345253614405
80.25,-79.25,-16.484685707388365
80.25,-78.75,-15.901759501758782
80.25,-78.25,-15.557299965805086
80.25,-77.75,-15.568331025631322
80.25,-77.25,-14.997694246095396
80.25,-76.75,-14.48004594399661
80.25,92.25,-20.290733357715762
80.25,92.75,-20.218343061570334
80.25,93.25,-14.895721302512257
80.25,93.75,-16.83230938163595
80.25,94.25,-17.196694512504095
80.25,94.75,-17.642620023562205
80.25,95.25,-16.91171827412965
80.25,95.75,-15.987419500420575
80.25,96.25,-20.441061196794138
80.25,96.75,-18.511538990163807
80.25,97.25,-14.393277842166956
