pr,netrad,Test,output,GHM,Domain,model_netrad
0.6564770301313817,0.8596560698753879,spearman,evap,clm45,wet warm,yes
0.8601496709836837,0.31628367985350514,spearman,qr,clm45,wet warm,yes
0.8984603276531105,0.3832569774766092,spearman,qtot,clm45,wet warm,yes
0.7178251065629198,0.9567070079373777,spearman,evap,clm45,wet cold,yes
0.8958917261295413,0.6739976796775334,spearman,qr,clm45,wet cold,yes
0.832622907835425,0.4483560011955835,spearman,qtot,clm45,wet cold,yes
0.8463215599632403,0.7009419394878188,spearman,evap,clm45,dry cold,yes
0.7390786796521798,0.45891775660257994,spearman,qr,clm45,dry cold,yes
0.6905140150636452,-0.11190442581514852,spearman,qtot,clm45,dry cold,yes
0.9742576078112597,0.870673894782625,spearman,evap,clm45,dry warm,yes
0.8382114398193333,0.6296245235995552,spearman,qr,clm45,dry warm,yes
0.9271887179093745,0.7344993839238593,spearman,qtot,clm45,dry warm,yes
0.6416730529137796,0.8802334368724796,spearman,evap,jules-w1,wet warm,yes
0.8520555568164483,0.33702428079105995,spearman,qr,jules-w1,wet warm,yes
0.9017136132240189,0.3260915816516485,spearman,qtot,jules-w1,wet warm,yes
0.7906838806391803,0.9394020995307475,spearman,evap,jules-w1,wet cold,yes
0.44972513569277806,0.040014622111950005,spearman,qr,jules-w1,wet cold,yes
0.6514706843827451,0.19273535823333002,spearman,qtot,jules-w1,wet cold,yes
0.9512344221816407,0.5460423927432503,spearman,evap,jules-w1,dry cold,yes
0.39046503169845304,-0.3279013772491512,spearman,qr,jules-w1,dry cold,yes
0.6037962349189936,0.0917390808542245,spearman,qtot,jules-w1,dry cold,yes
0.9861550110172889,0.8571311786909799,spearman,evap,jules-w1,dry warm,yes
0.7312869129177852,0.5657531399084179,spearman,qr,jules-w1,dry warm,yes
0.8405793663934279,0.6852744212213444,spearman,qtot,jules-w1,dry warm,yes
0.7455482390369242,0.8130273039996824,spearman,evap,lpjml,wet warm,no
0.7138734844094153,0.2491474820713229,spearman,qr,lpjml,wet warm,no
0.8794167201143865,0.4259803348510321,spearman,qtot,lpjml,wet warm,no
0.8242803275380604,0.8228536601495833,spearman,evap,lpjml,wet cold,no
0.7820177546731792,0.6881176279447545,spearman,qr,lpjml,wet cold,no
0.867212036507901,0.4354933886758311,spearman,qtot,lpjml,wet cold,no
0.9110638097896924,0.5297965520656839,spearman,evap,lpjml,dry cold,no
0.5117185805926047,0.49370050792829195,spearman,qr,lpjml,dry cold,no
