pr,netrad,Test,output,GHM,Domain,model_netrad
0.2660974997862434,0.7575106823965221,spearman_partial,evap,clm45,wet warm,yes
0.6564770301313817,0.8596560698753879,spearman,evap,clm45,wet warm,yes
0.18655150109815669,0.5534413511853039,regression,evap,clm45,wet warm,yes
0.9036755674096184,-0.6046724753018733,spearman_partial,qr,clm45,wet warm,yes
0.8601496709836837,0.31628367985350514,spearman,qr,clm45,wet warm,yes
0.5903206637913652,0.22741208458353895,regression,qr,clm45,wet warm,yes
0.9214922692014234,-0.5765353213973831,spearman_partial,qtot,clm45,wet warm,yes
0.8984603276531105,0.3832569774766092,spearman,qtot,clm45,wet warm,yes
0.8022263956545769,0.3546407168824868,regression,qtot,clm45,wet warm,yes
-0.03356219087319949,0.908534658179495,spearman_partial,evap,clm45,wet cold,yes
0.7178251065629198,0.9567070079373777,spearman,evap,clm45,wet cold,yes
0.21136432193047408,0.4168411398640329,regression,evap,clm45,wet cold,yes
0.7989967682208255,-0.0143797072974281,spearman_partial,qr,clm45,wet cold,yes
0.8958917261295413,0.6739976796775334,spearman,qr,clm45,wet cold,yes
0.5470457370593849,0.27996668595756913,regression,qr,clm45,wet cold,yes
0.8444516594184298,-0.5026880097853382,spearman_partial,qtot,clm45,wet cold,yes
0.832622907835425,0.4483560011955835,spearman,qtot,clm45,wet cold,yes
0.7478587995735435,0.3080036379706713,regression,qtot,clm45,wet cold,yes
0.8247728205375435,0.6532702154671224,spearman_partial,evap,clm45,dry cold,yes
0.8463215599632403,0.7009419394878188,spearman,evap,clm45,dry cold,yes
0.5635927958127832,0.2974592189710696,regression,evap,clm45,dry cold,yes
0.6685018889057635,0.19437833165785132,spearman_partial,qr,clm45,dry cold,yes
0.7390786796521798,0.45891775660257994,spearman,qr,clm45,dry cold,yes
0.1895566154351882,0.05930438959677061,regression,qr,clm45,dry cold,yes
0.8434161023111818,-0.6746843871198486,spearman_partial,qtot,clm45,dry cold,yes
0.6905140150636452,-0.11190442581514852,spearman,qtot,clm45,dry cold,yes
0.40917892380946247,-0.018724655280301164,regression,qtot,clm45,dry cold,yes
0.904152006437697,0.36222537442162944,spearman_partial,evap,clm45,dry warm,yes
0.9742576078112597,0.870673894782625,spearman,evap,clm45,dry warm,yes
0.6376417706421773,0.6718232331767181,regression,evap,clm45,dry warm,yes
0.7400427236294504,-0.2863353505430058,spearman_partial,qr,clm45,dry warm,yes
0.8382114398193333,0.6296245235995552,spearman,qr,clm45,dry warm,yes
0.1989213000649044,0.15507865891714984,regression,qr,clm45,dry warm,yes
0.8469269167975272,-0.26865711255704766,spearman_partial,qtot,clm45,dry warm,yes
0.9271887179093745,0.7344993839238593,spearman,qtot,clm45,dry warm,yes
0.350767871701194,0.29174507314113884,regression,qtot,clm45,dry warm,yes
0.31735164445199765,0.8097809670654392,spearman_partial,evap,jules-w1,wet warm,yes
0.6416730529137796,0.8802334368724796,spearman,evap,jules-w1,wet warm,yes
0.17155307801658473,0.7754551724229736,regression,evap,jules-w1,wet warm,yes
0.8596237506219897,-0.3943267109194215,spearman_partial,qr,jules-w1,wet warm,yes
0.8520555568164483,0.33702428079105995,spearman,qr,jules-w1,wet warm,yes
0.5878076643407222,0.3000852678389806,regression,qr,jules-w1,wet warm,yes
0.9297186711924301,-0.5929248518443401,spearman_partial,qtot,jules-w1,wet warm,yes
0.9017136132240189,0.3260915816516485,spearman,qtot,jules-w1,wet warm,yes
0.8221566434297325,0.4057481120056258,regression,qtot,jules-w1,wet warm,yes
0.3301471076821713,0.8488980810222048,spearman_partial,evap,jules-w1,wet cold,yes
0.7906838806391803,0.9394020995307475,spearman,evap,jules-w1,wet cold,yes
0.290288266212881,0.8104656259309573,regression,evap,jules-w1,wet cold,yes
0.650090857345372,-0.5266815870851058,spearman_partial,qr,jules-w1,wet cold,yes
0.44972513569277806,0.040014622111950005,spearman,qr,jules-w1,wet cold,yes
0.4868217538438199,0.10268225431101244,regression,qr,jules-w1,wet cold,yes
0.7963431966488738,-0.6229115532873298,spearman_partial,qtot,jules-w1,wet cold,yes
0.6514706843827451,0.19273535823333002,spearman,qtot,jules-w1,wet cold,yes
0.6762948502727989,0.2083900968652208,regression,qtot,jules-w1,wet cold,yes
0.9371935779390763,0.3202966006887638,spearman_partial,evap,jules-w1,dry cold,yes
0.9512344221816407,0.5460423927432503,spearman,evap,jules-w1,dry cold,yes
0.7523816478603896,0.43223524193559826,regression,evap,jules-w1,dry cold,yes
0.6635616116076859,-0.6408078480841296,spearman_partial,qr,jules-w1,dry cold,yes
0.39046503169845304,-0.3279013772491512,spearman,qr,jules-w1,dry cold,yes
0.057491060307775774,-0.042380293756137236,regression,qr,jules-w1,dry cold,yes
0.6416935719799045,-0.2864829358773134,spearman_partial,qtot,jules-w1,dry cold,yes
0.6037962349189936,0.0917390808542245,spearman,qtot,jules-w1,dry cold,yes
0.21754905618997541,0.044986406413151665,regression,qtot,jules-w1,dry cold,yes
0.9484341297550785,0.17480503909766537,spearman_partial,evap,jules-w1,dry warm,yes
0.9861550110172889,0.8571311786909799,spearman,evap,jules-w1,dry warm,yes
0.7636812721534197,0.8513855587032798,regression,evap,jules-w1,dry warm,yes
0.5783269003099945,-0.16525386732771058,spearman_partial,qr,jules-w1,dry warm,yes
0.7312869129177852,0.5657531399084179,spearman,qr,jules-w1,dry warm,yes
0.035540650025949666,0.027459104393611954,regression,qr,jules-w1,dry warm,yes
0.6738825894076864,-0.11515371313670551,spearman_partial,qtot,jules-w1,dry warm,yes
0.8405793663934279,0.6852744212213444,spearman,qtot,jules-w1,dry warm,yes
0.22503621712189956,0.2241903573089543,regression,qtot,jules-w1,dry warm,yes
0.4601382770149806,0.6311740853765865,spearman_partial,evap,lpjml,wet warm,no
0.7455482390369242,0.8130273039996824,spearman,evap,lpjml,wet warm,no
0.23594780471906765,0.6632054281444743,regression,evap,lpjml,wet warm,no
0.7627425862222054,-0.44731615238595646,spearman_partial,qr,lpjml,wet warm,no
0.7138734844094153,0.2491474820713229,spearman,qr,lpjml,wet warm,no
0.39858247107755307,0.13564879718165898,regression,qr,lpjml,wet warm,no
0.8859419908388353,-0.47229841016496943,spearman_partial,qtot,lpjml,wet warm,no
0.8794167201143865,0.4259803348510321,spearman,qtot,lpjml,wet warm,no
0.727146929922007,0.4634298446940136,regression,qtot,lpjml,wet warm,no
0.6157702662229059,0.612063709609798,spearman_partial,evap,lpjml,wet cold,no
0.8242803275380604,0.8228536601495833,spearman,evap,lpjml,wet cold,no
0.24409185955610052,0.5273760879013465,regression,evap,lpjml,wet cold,no
0.5813746982490154,0.3205232767376605,spearman_partial,qr,lpjml,wet cold,no
0.7820177546731792,0.6881176279447545,spearman,qr,lpjml,wet cold,no
0.30611829026236026,0.23765595145243368,regression,qr,lpjml,wet cold,no
0.8730626775313517,-0.47215580756746384,spearman_partial,qtot,lpjml,wet cold,no
0.867212036507901,0.4354933886758311,spearman,qtot,lpjml,wet cold,no
0.707793481698466,0.37111105925458243,regression,qtot,lpjml,wet cold,no
0.9024824454654082,0.46348676822718415,spearman_partial,evap,lpjml,dry cold,no
0.9110638097896924,0.5297965520656839,spearman,evap,lpjml,dry cold,no
0.5692401693236366,0.32234307469869344,regression,evap,lpjml,dry cold,no
0.3993512584723723,0.37263013000640133,spearman_partial,qr,lpjml,dry cold,no
0.5117185805926047,0.49370050792829195,spearman,qr,lpjml,dry cold,no
0.05399196570847415,0.041376267784985855,regression,qr,lpjml,dry cold,no
0.877025607801684,-0.47900043362514994,spearman_partial,qtot,lpjml,dry cold,no
0.8382073239478823,0.0846861163949451,spearman,qtot,lpjml,dry cold,no
0.37960496946144556,0.0663190243605903,regression,qtot,lpjml,dry cold,no
0.9713726318825581,0.05128980803246288,spearman_partial,evap,lpjml,dry warm,no
0.983440453437931,0.6477178528506683,spearman,evap,lpjml,dry warm,no
0.6293552980559408,0.5694494761168921,regression,evap,lpjml,dry warm,no
0.6364772032666117,-0.1457652709870335,spearman_partial,qr,lpjml,dry warm,no
0.6890897823364351,0.3687676050574229,spearman,qr,lpjml,dry warm,no
0.07747981175330935,0.05105427212809127,regression,qr,lpjml,dry warm,no
0.913279281235771,-0.17212087152449326,spearman_partial,qtot,lpjml,dry warm,no
0.9403216571892046,0.5681389454256237,spearman,qtot,lpjml,dry warm,no
0.33918843186552633,0.27031976525255597,regression,qtot,lpjml,dry warm,no
0.35974095742439954,0.41161850873981903,spearman_partial,evap,matsiro,wet warm,yes
0.5816320722510732,0.6072156915438675,spearman,evap,matsiro,wet warm,yes
0.15273895196809,0.08530608270237697,regression,evap,matsiro,wet warm,yes
0.8242141022979523,0.12343287017509673,spearman_partial,qr,matsiro,wet warm,yes
0.8793111987244464,0.5508835626896813,spearman,qr,matsiro,wet warm,yes
0.5787388292793445,0.18657983354144123,regression,qr,matsiro,wet warm,yes
0.8710232723648638,-0.21545313603485997,spearman_partial,qtot,matsiro,wet warm,yes
0.8907748223740921,0.4288668344955741,spearman,qtot,matsiro,wet warm,yes
0.8845291792613243,0.2946450957973691,regression,qtot,matsiro,wet warm,yes
0.6141285869345552,0.39489718603594476,spearman_partial,evap,matsiro,wet cold,yes
0.7289243055499874,0.6040512758399664,spearman,evap,matsiro,wet cold,yes
0.18371247439094912,0.1063793382152241,regression,evap,matsiro,wet cold,yes
0.811999033118802,-0.16966742312999095,spearman_partial,qr,matsiro,wet cold,yes
0.8308446472126916,0.34213296919366254,spearman,qr,matsiro,wet cold,yes
0.5580385250752444,0.15342763301903867,regression,qr,matsiro,wet cold,yes
0.7177583686709479,-0.2907212883952698,spearman_partial,qtot,matsiro,wet cold,yes
0.6977776690061915,0.17638567285723636,spearman,qtot,matsiro,wet cold,yes
0.7524933483033718,0.15372186777467572,regression,qtot,matsiro,wet cold,yes
0.8700734042828465,0.3200957069695274,spearman_partial,evap,matsiro,dry cold,yes
0.882614700225319,0.42855446249589074,spearman,evap,matsiro,dry cold,yes
0.506725274265945,0.09960338308224889,regression,evap,matsiro,dry cold,yes
0.7850016192083383,-0.2953870672813408,spearman_partial,qr,matsiro,dry cold,yes
0.7624951129186405,0.06647149818522408,spearman,qr,matsiro,dry cold,yes
0.19835582781162367,0.032781821503742266,regression,qr,matsiro,dry cold,yes
0.7410365720229279,-0.35466064983232526,spearman_partial,qtot,matsiro,dry cold,yes
0.6959764443306412,-0.015220079034854093,spearman,qtot,matsiro,dry cold,yes
0.35901878861279674,0.028477206909551772,regression,qtot,matsiro,dry cold,yes
0.8677119942402963,0.12584732987884747,spearman_partial,evap,matsiro,dry warm,yes
0.9344814872393357,0.7036667580601206,spearman,evap,matsiro,dry warm,yes
0.5390639756472578,0.14290192795729556,regression,evap,matsiro,dry warm,yes
0.7168250105854798,-0.10619789547888941,spearman_partial,qr,matsiro,dry warm,yes
0.8061349186463916,0.5365599719277963,spearman,qr,matsiro,dry warm,yes
0.1819532839318902,0.04320348224824146,regression,qr,matsiro,dry warm,yes
0.8753701092597198,-0.10208858086239742,spearman_partial,qtot,matsiro,dry warm,yes
0.9278869595307155,0.6413879007962517,spearman,qtot,matsiro,dry warm,yes
0.34001306800672765,0.09663059702992917,regression,qtot,matsiro,dry warm,yes
0.26573186051110587,0.4987616299886019,spearman_partial,evap,pcr-globwb,wet warm,no
0.6137950375342969,0.7044240857271357,spearman,evap,pcr-globwb,wet warm,no
0.23527929153654334,0.7309013110656362,regression,evap,pcr-globwb,wet warm,no
0.7041615230919211,-0.29004071799401326,spearman_partial,qr,pcr-globwb,wet warm,no
0.7139399973391679,0.33062800342880433,spearman,qr,pcr-globwb,wet warm,no
0.39585569560878475,0.25002402851241523,regression,qr,pcr-globwb,wet warm,no
0.7681421621778095,-0.39075881765742454,spearman_partial,qtot,pcr-globwb,wet warm,no
0.7511373824625688,0.3151129903960074,spearman,qtot,pcr-globwb,wet warm,no
0.7236652026408202,0.3983218284330897,regression,qtot,pcr-globwb,wet warm,no
0.4138524614626435,0.40061922450883575,spearman_partial,evap,pcr-globwb,wet cold,no
0.6961332903334192,0.6913020193113564,spearman,evap,pcr-globwb,wet cold,no
0.19237061555595722,0.4761576959103871,regression,evap,pcr-globwb,wet cold,no
0.6287131906831547,-0.012906369491050996,spearman_partial,qr,pcr-globwb,wet cold,no
0.7442624444109661,0.5123179836744367,spearman,qr,pcr-globwb,wet cold,no
0.45256034640300746,0.40377571518078315,regression,qr,pcr-globwb,wet cold,no
0.6848796384616357,-0.26719172836927874,spearman_partial,qtot,pcr-globwb,wet cold,no
0.708193289573568,0.3580425226565032,spearman,qtot,pcr-globwb,wet cold,no
0.7028047286458474,0.44624045789924055,regression,qtot,pcr-globwb,wet cold,no
0.7012976121408545,0.1825158267518709,spearman_partial,evap,pcr-globwb,dry cold,no
0.747837215861955,0.4019997500168713,spearman,evap,pcr-globwb,dry cold,no
